date,city,avg_NO2
2020-11-25,Paris,36.22
2020-11-26,Paris,47.38
2020-11-27,Paris,33.4
2020-11-28,Paris,37.32
2020-11-29,Paris,41.37
2020-11-30,Paris,57.55
2020-12-01,Paris,29.6
2020-12-02,Paris,41.64
2020-12-03,Paris,21.61
2020-12-04,Paris,22.87
2020-12-05,Paris,16.39
2020-12-06,Paris,36.19
2020-12-07,Paris,38.6
2020-12-08,Paris,39.41
2020-12-09,Paris,37.76
2020-12-10,Paris,29.5
2020-12-11,Paris,24.76
2020-12-12,Paris,26.66
2020-12-13,Paris,21.2
2020-12-14,Paris,24.84
2020-12-15,Paris,26.1
2020-12-16,Paris,25.26
2020-12-17,Paris,27.3
2020-12-18,Paris,26.33
2020-12-19,Paris,17.68
2020-12-20,Paris,21.88
2020-12-21,Paris,17.63
2020-12-22,Paris,15.58
2020-12-23,Paris,16.02
2020-12-24,Paris,26.78
2020-12-25,Paris,41.23
2020-12-26,Paris,35.13
2020-12-27,Paris,11.98
2020-12-28,Paris,24.16
2020-12-29,Paris,34.02
2020-12-30,Paris,35.34
2020-12-31,Paris,42.87
2021-01-01,Paris,75.14
2021-01-02,Paris,58.46
2021-01-03,Paris,42.73
2021-01-04,Paris,30.73
2021-01-05,Paris,35.47
2021-01-06,Paris,37.34
2021-01-07,Paris,58.56
2021-01-08,Paris,93.11
2021-01-09,Paris,39.08
2021-01-10,Paris,53.42
2021-01-11,Paris,51.33
2021-01-12,Paris,30.19
2021-01-13,Paris,34.02
2021-01-14,Paris,22.06
2021-01-15,Paris,40.49
2021-01-16,Paris,38.84
2021-01-17,Paris,41.93
2021-01-18,Paris,39.07
2021-01-19,Paris,19.47
2021-01-20,Paris,14.48
2021-01-21,Paris,13.06
2021-01-22,Paris,46.57
2021-01-23,Paris,30.83
2021-01-24,Paris,29.14
2021-01-25,Paris,39.73
2021-01-26,Paris,39.88
2021-01-27,Paris,10.11
2021-01-28,Paris,21.84
2021-01-29,Paris,16.82
2021-01-30,Paris,18.47
2021-01-31,Paris,40.29
2021-02-01,Paris,35.52
2021-02-02,Paris,19.52
2021-02-03,Paris,19.45
2021-02-04,Paris,35.2
2021-02-05,Paris,41.54
2021-02-06,Paris,31.35
2021-02-07,Paris,33.05
2021-02-08,Paris,49.64
2021-02-09,Paris,44.04
2021-02-10,Paris,36.02
2021-02-11,Paris,29.41
2021-02-12,Paris,23.46
2021-02-13,Paris,21.81
2021-02-14,Paris,24.56
2021-02-15,Paris,28.68
2021-02-16,Paris,27.1
2021-02-17,Paris,24.19
2021-02-18,Paris,28.35
2021-02-19,Paris,32.7
2021-02-20,Paris,17.14
2021-02-21,Paris,29.07
2021-02-22,Paris,36.26
2021-02-23,Paris,26.87
2021-02-24,Paris,30.41
2021-02-25,Paris,40.66
2021-02-26,Paris,40.12
2021-02-27,Paris,28.76
2021-02-28,Paris,26.96
2021-03-01,Paris,38.91
2021-03-02,Paris,47.55
2021-03-03,Paris,44.78
2021-03-04,Paris,38.03
2021-03-05,Paris,26.13
2021-03-06,Paris,26.25
2021-03-07,Paris,42.27
2021-03-08,Paris,47.4
2021-03-09,Paris,67.15
2021-03-10,Paris,38.58
2021-03-11,Paris,9.33
2021-03-12,Paris,12.42
2021-03-13,Paris,7.87
2021-03-14,Paris,12.96
2021-03-15,Paris,25.74
2021-03-16,Paris,47.19
2021-03-17,Paris,18.81
2021-03-18,Paris,34.52
2021-03-19,Paris,20.47
2021-03-20,Paris,44.25
2021-03-21,Paris,36.11
2021-03-22,Paris,49.24
2021-03-23,Paris,81.57
2021-03-24,Paris,50.04
2021-03-25,Paris,42.14
2021-03-26,Paris,24.26
2021-03-27,Paris,24.95
2021-03-28,Paris,30.41
2021-03-29,Paris,48.35
2021-03-30,Paris,42.72
2021-03-31,Paris,44.61
2021-04-01,Paris,35.6
2021-04-02,Paris,19.77
2021-04-03,Paris,13.18
2021-04-04,Paris,41.01
2021-04-05,Paris,38.21
2021-04-06,Paris,37.07
2021-04-07,Paris,45.72
2021-04-08,Paris,65.77
2021-04-09,Paris,42.23
2021-04-10,Paris,25.67
2021-04-11,Paris,23.7
2021-04-12,Paris,41.88
2021-04-13,Paris,36.35
2021-04-14,Paris,30.84
2021-04-15,Paris,26.68
2021-04-16,Paris,28.19
2021-04-17,Paris,20.9
2021-04-18,Paris,40.56
